model,skill,condition,bucket,n_paired,mean_delta_edit,mean_skill_edit
apertus-70b,no-skill,no-skill,func,553,0.0000,0.3967
apertus-70b,no-skill,no-skill,sytx,446,0.0000,0.3976
apertus-70b,no-skill,no-skill,sytx+func,128,0.0000,0.3789
apertus-70b,no-skill,no-skill,text,808,0.0000,0.4992
apertus-70b,no-skill,no-skill,text+func,661,0.0000,0.4645
apertus-70b,no-skill,no-skill,text+sytx,81,0.0000,0.4779
apertus-70b,no-skill,no-skill,text+sytx+func,895,0.0000,0.5397
apertus-70b,no-skill,no-skill,ALL,3572,0.0000,0.4696
apertus-70b,v1,sys,func,553,-0.0169,0.3798
apertus-70b,v1,sys,sytx,446,-0.0302,0.3674
apertus-70b,v1,sys,sytx+func,128,-0.0008,0.3781
apertus-70b,v1,sys,text,808,-0.0184,0.4808
apertus-70b,v1,sys,text+func,661,-0.0041,0.4605
apertus-70b,v1,sys,text+sytx,81,0.0054,0.4833
apertus-70b,v1,sys,text+sytx+func,895,0.0004,0.5402
apertus-70b,v1,sys,ALL,3572,-0.0111,0.4585
apertus-70b,v2,sys,func,553,-0.0427,0.3541
apertus-70b,v2,sys,sytx,446,-0.0714,0.3262
apertus-70b,v2,sys,sytx+func,128,-0.0125,0.3663
apertus-70b,v2,sys,text,808,-0.0465,0.4527
apertus-70b,v2,sys,text+func,661,-0.0087,0.4558
apertus-70b,v2,sys,text+sytx,81,0.0168,0.4947
apertus-70b,v2,sys,text+sytx+func,894,-0.0179,0.5224
apertus-70b,v2,sys,ALL,3571,-0.0322,0.4375
apertus-70b,v2.1,sys,func,553,-0.0345,0.3622
apertus-70b,v2.1,sys,sytx,446,-0.0567,0.3409
apertus-70b,v2.1,sys,sytx+func,128,-0.0218,0.3571
apertus-70b,v2.1,sys,text,808,-0.0328,0.4664
apertus-70b,v2.1,sys,text+func,661,-0.0035,0.4611
apertus-70b,v2.1,sys,text+sytx,81,0.0604,0.5383
apertus-70b,v2.1,sys,text+sytx+func,893,-0.0085,0.5325
apertus-70b,v2.1,sys,ALL,3570,-0.0220,0.4478
